group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
not_parallel,,100000,,,1153774.0,ns,8
not_parallel,,100000,,,2221446.0,ns,16
not_parallel,,100000,,,3304402.0,ns,24
not_parallel,,100000,,,4268151.0,ns,32
not_parallel,,100000,,,5363248.0,ns,40
not_parallel,,100000,,,6737379.0,ns,48
not_parallel,,100000,,,7742092.0,ns,56
not_parallel,,100000,,,8930378.0,ns,64
not_parallel,,100000,,,9512964.0,ns,72
not_parallel,,100000,,,10873009.0,ns,80
not_parallel,,100000,,,11625518.0,ns,88
not_parallel,,100000,,,12686985.0,ns,96
not_parallel,,100000,,,13743638.0,ns,104
not_parallel,,100000,,,14800197.0,ns,112
not_parallel,,100000,,,15899012.0,ns,120
not_parallel,,100000,,,16927279.0,ns,128
not_parallel,,100000,,,18261538.0,ns,136
not_parallel,,100000,,,19116167.0,ns,144
not_parallel,,100000,,,20076570.0,ns,152
not_parallel,,100000,,,21144424.0,ns,160
not_parallel,,100000,,,22451217.0,ns,168
not_parallel,,100000,,,24269371.0,ns,176
not_parallel,,100000,,,25068955.0,ns,184
not_parallel,,100000,,,25740570.0,ns,192
not_parallel,,100000,,,26465103.0,ns,200
not_parallel,,100000,,,27652500.0,ns,208
not_parallel,,100000,,,29049983.0,ns,216
not_parallel,,100000,,,29654903.0,ns,224
not_parallel,,100000,,,30794286.0,ns,232
not_parallel,,100000,,,31954679.0,ns,240
not_parallel,,100000,,,32737826.0,ns,248
not_parallel,,100000,,,34097706.0,ns,256
not_parallel,,100000,,,35005059.0,ns,264
not_parallel,,100000,,,35993438.0,ns,272
not_parallel,,100000,,,37215984.0,ns,280
not_parallel,,100000,,,38022276.0,ns,288
not_parallel,,100000,,,39193228.0,ns,296
not_parallel,,100000,,,40514380.0,ns,304
not_parallel,,100000,,,43397718.0,ns,312
not_parallel,,100000,,,43652473.0,ns,320
not_parallel,,100000,,,44061249.0,ns,328
not_parallel,,100000,,,44636400.0,ns,336
not_parallel,,100000,,,45512652.0,ns,344
not_parallel,,100000,,,46687238.0,ns,352
not_parallel,,100000,,,47699911.0,ns,360
not_parallel,,100000,,,50350365.0,ns,368
not_parallel,,100000,,,50041918.0,ns,376
not_parallel,,100000,,,51818185.0,ns,384
not_parallel,,100000,,,53491109.0,ns,392
not_parallel,,100000,,,53043477.0,ns,400
not_parallel,,100000,,,53944323.0,ns,408
not_parallel,,100000,,,55266075.0,ns,416
not_parallel,,100000,,,56102825.0,ns,424
not_parallel,,100000,,,57744429.0,ns,432
not_parallel,,100000,,,59095639.0,ns,440
not_parallel,,100000,,,59703801.0,ns,448
not_parallel,,100000,,,61718589.0,ns,456
not_parallel,,100000,,,62602660.0,ns,464
not_parallel,,100000,,,63439918.0,ns,472
not_parallel,,100000,,,63932921.0,ns,480
not_parallel,,100000,,,65096555.0,ns,488
not_parallel,,100000,,,65763640.0,ns,496
not_parallel,,100000,,,66799920.0,ns,504
not_parallel,,100000,,,68122532.0,ns,512
not_parallel,,100000,,,70860155.0,ns,520
not_parallel,,100000,,,70153911.0,ns,528
not_parallel,,100000,,,70927009.0,ns,536
not_parallel,,100000,,,72353108.0,ns,544
not_parallel,,100000,,,73214770.0,ns,552
not_parallel,,100000,,,82273996.0,ns,560
not_parallel,,100000,,,82713560.0,ns,568
not_parallel,,100000,,,76878583.0,ns,576
not_parallel,,100000,,,78163156.0,ns,584
not_parallel,,100000,,,78356364.0,ns,592
not_parallel,,100000,,,79562051.0,ns,600
not_parallel,,100000,,,81047720.0,ns,608
not_parallel,,100000,,,81985477.0,ns,616
not_parallel,,100000,,,88951560.0,ns,624
not_parallel,,100000,,,83842130.0,ns,632
not_parallel,,100000,,,85040479.0,ns,640
not_parallel,,100000,,,85792061.0,ns,648
not_parallel,,100000,,,86982957.0,ns,656
not_parallel,,100000,,,87878326.0,ns,664
not_parallel,,100000,,,89598265.0,ns,672
not_parallel,,100000,,,92093573.0,ns,680
not_parallel,,100000,,,100882587.0,ns,688
not_parallel,,100000,,,96488967.0,ns,696
not_parallel,,100000,,,95230791.0,ns,704
not_parallel,,100000,,,97653321.0,ns,712
not_parallel,,100000,,,95404383.0,ns,720
not_parallel,,100000,,,96476148.0,ns,728
not_parallel,,100000,,,97514119.0,ns,736
not_parallel,,100000,,,99116491.0,ns,744
not_parallel,,100000,,,101165296.0,ns,752
not_parallel,,100000,,,101846794.0,ns,760
not_parallel,,100000,,,101763898.0,ns,768
not_parallel,,100000,,,102785031.0,ns,776
not_parallel,,100000,,,104170458.0,ns,784
not_parallel,,100000,,,107209784.0,ns,792
not_parallel,,100000,,,106325789.0,ns,800
