group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
not_parallel,,1000000,,,1398095.0,ns,1
not_parallel,,1000000,,,2975242.0,ns,2
not_parallel,,1000000,,,4294922.0,ns,3
not_parallel,,1000000,,,5330286.0,ns,4
not_parallel,,1000000,,,7390683.0,ns,5
not_parallel,,1000000,,,8246369.0,ns,6
not_parallel,,1000000,,,9319455.0,ns,7
not_parallel,,1000000,,,10476096.0,ns,8
not_parallel,,1000000,,,11783775.0,ns,9
not_parallel,,1000000,,,13240563.0,ns,10
not_parallel,,1000000,,,14772273.0,ns,11
not_parallel,,1000000,,,15657562.0,ns,12
not_parallel,,1000000,,,17045842.0,ns,13
not_parallel,,1000000,,,20690747.0,ns,14
not_parallel,,1000000,,,19888284.0,ns,15
not_parallel,,1000000,,,21069072.0,ns,16
not_parallel,,1000000,,,22183534.0,ns,17
not_parallel,,1000000,,,23690980.0,ns,18
not_parallel,,1000000,,,24807849.0,ns,19
not_parallel,,1000000,,,26277072.0,ns,20
not_parallel,,1000000,,,27600357.0,ns,21
not_parallel,,1000000,,,28769329.0,ns,22
not_parallel,,1000000,,,30124356.0,ns,23
not_parallel,,1000000,,,31460120.0,ns,24
not_parallel,,1000000,,,33244208.0,ns,25
not_parallel,,1000000,,,33968232.0,ns,26
not_parallel,,1000000,,,35351802.0,ns,27
not_parallel,,1000000,,,36914590.0,ns,28
not_parallel,,1000000,,,37890559.0,ns,29
not_parallel,,1000000,,,39356629.0,ns,30
not_parallel,,1000000,,,40516206.0,ns,31
not_parallel,,1000000,,,44912593.0,ns,32
not_parallel,,1000000,,,43867058.0,ns,33
not_parallel,,1000000,,,44559688.0,ns,34
not_parallel,,1000000,,,45944133.0,ns,35
not_parallel,,1000000,,,47095006.0,ns,36
not_parallel,,1000000,,,48412098.0,ns,37
not_parallel,,1000000,,,49794914.0,ns,38
not_parallel,,1000000,,,51198996.0,ns,39
not_parallel,,1000000,,,52342675.0,ns,40
not_parallel,,1000000,,,54090692.0,ns,41
not_parallel,,1000000,,,55331962.0,ns,42
not_parallel,,1000000,,,56487744.0,ns,43
not_parallel,,1000000,,,58639323.0,ns,44
not_parallel,,1000000,,,58875980.0,ns,45
not_parallel,,1000000,,,60943760.0,ns,46
not_parallel,,1000000,,,61552282.0,ns,47
not_parallel,,1000000,,,62795702.0,ns,48
not_parallel,,1000000,,,64808946.0,ns,49
not_parallel,,1000000,,,67854280.0,ns,50
not_parallel,,1000000,,,68686370.0,ns,51
not_parallel,,1000000,,,68171899.0,ns,52
not_parallel,,1000000,,,69502273.0,ns,53
not_parallel,,1000000,,,70656320.0,ns,54
not_parallel,,1000000,,,71997302.0,ns,55
not_parallel,,1000000,,,74038295.0,ns,56
not_parallel,,1000000,,,75534932.0,ns,57
not_parallel,,1000000,,,76595719.0,ns,58
not_parallel,,1000000,,,77324206.0,ns,59
not_parallel,,1000000,,,78961904.0,ns,60
not_parallel,,1000000,,,79776156.0,ns,61
not_parallel,,1000000,,,81485003.0,ns,62
not_parallel,,1000000,,,82597072.0,ns,63
not_parallel,,1000000,,,87249166.0,ns,64
not_parallel,,1000000,,,85446999.0,ns,65
not_parallel,,1000000,,,86588496.0,ns,66
not_parallel,,1000000,,,87860691.0,ns,67
not_parallel,,1000000,,,89754591.0,ns,68
not_parallel,,1000000,,,93375760.0,ns,69
not_parallel,,1000000,,,91632861.0,ns,70
not_parallel,,1000000,,,93032845.0,ns,71
not_parallel,,1000000,,,95172462.0,ns,72
not_parallel,,1000000,,,95769044.0,ns,73
not_parallel,,1000000,,,97027587.0,ns,74
not_parallel,,1000000,,,102016266.0,ns,75
not_parallel,,1000000,,,99619205.0,ns,76
not_parallel,,1000000,,,101126115.0,ns,77
not_parallel,,1000000,,,102304414.0,ns,78
not_parallel,,1000000,,,104354260.0,ns,79
not_parallel,,1000000,,,104989556.0,ns,80
not_parallel,,1000000,,,107077819.0,ns,81
not_parallel,,1000000,,,107988272.0,ns,82
not_parallel,,1000000,,,110038258.0,ns,83
not_parallel,,1000000,,,114544384.0,ns,84
not_parallel,,1000000,,,111300201.0,ns,85
not_parallel,,1000000,,,113129560.0,ns,86
not_parallel,,1000000,,,114168611.0,ns,87
not_parallel,,1000000,,,115851037.0,ns,88
not_parallel,,1000000,,,117676228.0,ns,89
not_parallel,,1000000,,,118980284.0,ns,90
not_parallel,,1000000,,,119374100.0,ns,91
not_parallel,,1000000,,,121009081.0,ns,92
not_parallel,,1000000,,,125515789.0,ns,93
not_parallel,,1000000,,,123372675.0,ns,94
not_parallel,,1000000,,,124707452.0,ns,95
not_parallel,,1000000,,,126626281.0,ns,96
not_parallel,,1000000,,,128488440.0,ns,97
not_parallel,,1000000,,,129129976.0,ns,98
not_parallel,,1000000,,,129969308.0,ns,99
not_parallel,,1000000,,,130996925.0,ns,100
