group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel,,10000,,,867943.0,ns,10
parallel,,10000,,,1736578.0,ns,20
parallel,,10000,,,3264066.0,ns,30
parallel,,10000,,,3725143.0,ns,40
parallel,,10000,,,4550723.0,ns,50
parallel,,10000,,,6021351.0,ns,60
parallel,,10000,,,6439598.0,ns,70
parallel,,10000,,,7253385.0,ns,80
parallel,,10000,,,8221514.0,ns,90
parallel,,10000,,,9228367.0,ns,100
parallel,,10000,,,10156685.0,ns,110
parallel,,10000,,,10729719.0,ns,120
parallel,,10000,,,11359159.0,ns,130
parallel,,10000,,,12358425.0,ns,140
parallel,,10000,,,13128825.0,ns,150
parallel,,10000,,,14019857.0,ns,160
parallel,,10000,,,15019340.0,ns,170
parallel,,10000,,,16023403.0,ns,180
parallel,,10000,,,16843456.0,ns,190
parallel,,10000,,,17696462.0,ns,200
parallel,,10000,,,18620628.0,ns,210
parallel,,10000,,,19565930.0,ns,220
parallel,,10000,,,20404401.0,ns,230
parallel,,10000,,,21323495.0,ns,240
parallel,,10000,,,22116196.0,ns,250
parallel,,10000,,,23058562.0,ns,260
parallel,,10000,,,28165640.0,ns,270
parallel,,10000,,,27990900.0,ns,280
parallel,,10000,,,25612210.0,ns,290
parallel,,10000,,,26159633.0,ns,300
parallel,,10000,,,27042296.0,ns,310
parallel,,10000,,,27925704.0,ns,320
parallel,,10000,,,28727820.0,ns,330
parallel,,10000,,,30073100.0,ns,340
parallel,,10000,,,30934907.0,ns,350
parallel,,10000,,,31656262.0,ns,360
parallel,,10000,,,32629478.0,ns,370
parallel,,10000,,,33378178.0,ns,380
parallel,,10000,,,35822670.0,ns,390
parallel,,10000,,,35372985.0,ns,400
parallel,,10000,,,35702389.0,ns,410
parallel,,10000,,,37711968.0,ns,420
parallel,,10000,,,37979055.0,ns,430
parallel,,10000,,,39010838.0,ns,440
parallel,,10000,,,39151629.0,ns,450
parallel,,10000,,,40870325.0,ns,460
parallel,,10000,,,41918853.0,ns,470
parallel,,10000,,,44272573.0,ns,480
parallel,,10000,,,43620651.0,ns,490
parallel,,10000,,,47177649.0,ns,500
parallel,,10000,,,44750586.0,ns,510
parallel,,10000,,,47798205.0,ns,520
parallel,,10000,,,48198662.0,ns,530
parallel,,10000,,,47819430.0,ns,540
parallel,,10000,,,50733244.0,ns,550
parallel,,10000,,,50420358.0,ns,560
parallel,,10000,,,49752877.0,ns,570
parallel,,10000,,,50681236.0,ns,580
parallel,,10000,,,52393419.0,ns,590
parallel,,10000,,,53059767.0,ns,600
parallel,,10000,,,54269829.0,ns,610
parallel,,10000,,,54306343.0,ns,620
parallel,,10000,,,55891775.0,ns,630
parallel,,10000,,,56460861.0,ns,640
parallel,,10000,,,57347392.0,ns,650
parallel,,10000,,,58557601.0,ns,660
parallel,,10000,,,59264627.0,ns,670
parallel,,10000,,,60250187.0,ns,680
parallel,,10000,,,60933431.0,ns,690
parallel,,10000,,,63316752.0,ns,700
parallel,,10000,,,62218970.0,ns,710
parallel,,10000,,,64249095.0,ns,720
parallel,,10000,,,65916139.0,ns,730
parallel,,10000,,,65416301.0,ns,740
parallel,,10000,,,66585473.0,ns,750
parallel,,10000,,,68001103.0,ns,760
parallel,,10000,,,66481410.0,ns,770
parallel,,10000,,,68875806.0,ns,780
parallel,,10000,,,68325717.0,ns,790
parallel,,10000,,,71150334.0,ns,800
parallel,,10000,,,74651342.0,ns,810
parallel,,10000,,,72435936.0,ns,820
parallel,,10000,,,73731462.0,ns,830
parallel,,10000,,,73344348.0,ns,840
parallel,,10000,,,75165141.0,ns,850
parallel,,10000,,,76051682.0,ns,860
parallel,,10000,,,77835674.0,ns,870
parallel,,10000,,,77080082.0,ns,880
parallel,,10000,,,78815010.0,ns,890
parallel,,10000,,,79959953.0,ns,900
parallel,,10000,,,81161700.0,ns,910
parallel,,10000,,,82513955.0,ns,920
parallel,,10000,,,82562729.0,ns,930
parallel,,10000,,,83566940.0,ns,940
parallel,,10000,,,84544788.0,ns,950
parallel,,10000,,,85208110.0,ns,960
parallel,,10000,,,86719877.0,ns,970
parallel,,10000,,,85823090.0,ns,980
parallel,,10000,,,89885156.0,ns,990
parallel,,10000,,,87172789.0,ns,1000
