group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel,,100000,,,1085869.0,ns,3
parallel,,100000,,,2628837.0,ns,6
parallel,,100000,,,3499489.0,ns,9
parallel,,100000,,,4365841.0,ns,12
parallel,,100000,,,5364026.0,ns,15
parallel,,100000,,,7403296.0,ns,18
parallel,,100000,,,7879322.0,ns,21
parallel,,100000,,,9286386.0,ns,24
parallel,,100000,,,9876933.0,ns,27
parallel,,100000,,,11673373.0,ns,30
parallel,,100000,,,12015043.0,ns,33
parallel,,100000,,,13560597.0,ns,36
parallel,,100000,,,14681195.0,ns,39
parallel,,100000,,,16523343.0,ns,42
parallel,,100000,,,16928745.0,ns,45
parallel,,100000,,,17936802.0,ns,48
parallel,,100000,,,20152565.0,ns,51
parallel,,100000,,,20664919.0,ns,54
parallel,,100000,,,22228732.0,ns,57
parallel,,100000,,,23896492.0,ns,60
parallel,,100000,,,25514195.0,ns,63
parallel,,100000,,,24712697.0,ns,66
parallel,,100000,,,26623263.0,ns,69
parallel,,100000,,,27651219.0,ns,72
parallel,,100000,,,28305981.0,ns,75
parallel,,100000,,,32177208.0,ns,78
parallel,,100000,,,31637291.0,ns,81
parallel,,100000,,,32574212.0,ns,84
parallel,,100000,,,36345040.0,ns,87
parallel,,100000,,,33952895.0,ns,90
parallel,,100000,,,35043927.0,ns,93
parallel,,100000,,,35615634.0,ns,96
parallel,,100000,,,38281816.0,ns,99
parallel,,100000,,,38553325.0,ns,102
parallel,,100000,,,39394641.0,ns,105
parallel,,100000,,,41213807.0,ns,108
parallel,,100000,,,41779704.0,ns,111
parallel,,100000,,,50157263.0,ns,114
parallel,,100000,,,46467796.0,ns,117
parallel,,100000,,,44892422.0,ns,120
parallel,,100000,,,46419413.0,ns,123
parallel,,100000,,,46862678.0,ns,126
parallel,,100000,,,48396965.0,ns,129
parallel,,100000,,,49428681.0,ns,132
parallel,,100000,,,50712812.0,ns,135
parallel,,100000,,,54158624.0,ns,138
parallel,,100000,,,53926902.0,ns,141
parallel,,100000,,,55217095.0,ns,144
parallel,,100000,,,54713926.0,ns,147
parallel,,100000,,,56021984.0,ns,150
parallel,,100000,,,59485818.0,ns,153
parallel,,100000,,,58933126.0,ns,156
parallel,,100000,,,62562243.0,ns,159
parallel,,100000,,,61035457.0,ns,162
parallel,,100000,,,63192286.0,ns,165
parallel,,100000,,,63587948.0,ns,168
parallel,,100000,,,82794552.0,ns,171
parallel,,100000,,,68921755.0,ns,174
parallel,,100000,,,66177159.0,ns,177
parallel,,100000,,,68766196.0,ns,180
parallel,,100000,,,69247919.0,ns,183
parallel,,100000,,,71397936.0,ns,186
parallel,,100000,,,73422928.0,ns,189
parallel,,100000,,,76717842.0,ns,192
parallel,,100000,,,74463718.0,ns,195
parallel,,100000,,,76536260.0,ns,198
parallel,,100000,,,78779508.0,ns,201
parallel,,100000,,,77144245.0,ns,204
parallel,,100000,,,79285635.0,ns,207
parallel,,100000,,,82369275.0,ns,210
parallel,,100000,,,82618517.0,ns,213
parallel,,100000,,,83921235.0,ns,216
parallel,,100000,,,81184139.0,ns,219
parallel,,100000,,,82732202.0,ns,222
parallel,,100000,,,91812886.0,ns,225
parallel,,100000,,,93127437.0,ns,228
parallel,,100000,,,89149320.0,ns,231
parallel,,100000,,,90931325.0,ns,234
parallel,,100000,,,93343172.0,ns,237
parallel,,100000,,,90354846.0,ns,240
parallel,,100000,,,90137466.0,ns,243
parallel,,100000,,,99994148.0,ns,246
parallel,,100000,,,93552478.0,ns,249
parallel,,100000,,,94424874.0,ns,252
parallel,,100000,,,96437817.0,ns,255
parallel,,100000,,,98542340.0,ns,258
parallel,,100000,,,99353615.0,ns,261
parallel,,100000,,,102122787.0,ns,264
parallel,,100000,,,99493689.0,ns,267
parallel,,100000,,,103327666.0,ns,270
parallel,,100000,,,106166413.0,ns,273
parallel,,100000,,,118814518.0,ns,276
parallel,,100000,,,106326556.0,ns,279
parallel,,100000,,,108321601.0,ns,282
parallel,,100000,,,109286245.0,ns,285
parallel,,100000,,,116331446.0,ns,288
parallel,,100000,,,110794326.0,ns,291
parallel,,100000,,,112056186.0,ns,294
parallel,,100000,,,113738565.0,ns,297
parallel,,100000,,,116068804.0,ns,300
